"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M1",0,40,0.5267,0,1.67999,20.40806,1.59529,4.16789,2.54495,7,0,0,0,29,14.48276,17.26268,0.19221,9.56041,0.53996,91.40148,0,0.82815,0.82815,0.82815,0.07049,0.03448,0.15452,28.45736,0.15329,5.31506,0.0235
"M1",0,2,0.27435,0,0.53142,-0.35021,0.45513,1.13909,0.20714,1,0,1,0,3,1,1.29099,0,1,0,1,0.00403,0.72968,0.72968,0.72968,0.2663,0.33333,0.44846,0,0.36744,0.79367,0.13501
"M1",0,1,0.95867,1,0.97912,19.23899,0.19905,-4.60855,0.03962,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04133,0.95867,0.95867,0.04133,0.95867,0.5,0.67851,0,0.64866,0,0.42076
"M1",0,3,0.06649,0,0.28859,27.14963,0.28083,4.8086,0.07887,1,0,0,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0.00094,0.94096,0.94096,0.94096,0.05252,0.25,0.47122,3.94731,0.46123,1.98488,0.21273
"M1",0,1,0.95378,1,0.97662,16.68674,0.20996,-4.32274,0.04408,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04622,0.95378,0.95378,0.04622,0.95378,0.5,0.67522,0,0.64174,0,0.41184
"M1",0,44,0.92689,1,1.09848,621.33169,0.58953,13.08709,0.34754,2,0,1,1,29,16.68966,20.81114,-0.34638,12.65223,0.74606,160.07882,0,0.80716,0.80716,0.14265,0.80716,0.03448,0.1524,26.95269,0.15107,5.13491,0.02282
"M1",0,1,0.92841,1,0.96354,9.04563,0.25781,-3.32348,0.06647,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.07159,0.92841,0.92841,0.07159,0.92841,0.5,0.65843,0,0.60586,0,0.36707
"M1",0,1,0.8059,1,0.89772,0.39284,0.39551,-1.54688,0.15643,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.1941,0.8059,0.8059,0.1941,0.8059,0.5,0.58615,0,0.4326,0,0.18715
"M1",0,6,0.20532,0,0.45572,0.67876,0.40685,1.52305,0.16553,1,0,0,0,5,2.4,3.16228,1.12852,2.30217,1.03266,5.3,1e-05,0.7958,0.7958,0.7958,0.20312,0.2,0.3673,3.61396,0.34444,1.91311,0.11864
"M1",0,2,0.77905,1,0.88264,-0.19048,0.41489,-1.34513,0.17213,1,0,1,1,3,1,1.29099,0,1,0,1,0,0.77905,0.77905,0.22095,0.77905,0.33333,0.46752,0,0.4015,1.16088,0.1612
"M1",0,1,0.99026,1,0.99512,97.6404,0.09823,-9.98194,0.00965,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.00974,0.99026,0.99026,0.00974,0.99026,0.5,0.70025,0,0.69333,0,0.4807
"M1",0,1,0.46033,0,0.67848,-1.9747,0.49843,0.15919,0.24843,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.46033,0.53967,0.53967,0.53967,0.46033,0.5,0.50157,0,0.0561,0,0.00315
"M1",0,1,0.89229,1,0.94461,4.40484,0.31002,-2.53078,0.09611,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.10771,0.89229,0.89229,0.10771,0.89229,0.5,0.63552,0,0.55478,0,0.30778
"M1",0,608,0.69123,0,3.89678,5246.41025,3.83499,45.41956,14.70718,7,0,1,0,101,66.62376,101.87757,25.17876,77.45784,4.27129,5999.71703,1e-05,0.73994,0.73994,0.73994,0.21151,0.0099,0.07659,86.30167,0.07632,9.11359,0.00583
"M1",0,1,0.96027,1,0.97993,20.21106,0.19533,-4.71284,0.03815,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.03973,0.96027,0.96027,0.03973,0.96027,0.5,0.67959,0,0.65092,0,0.42369
"M1",0,1,0.95869,1,0.97913,19.25324,0.199,-4.6101,0.0396,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.04131,0.95869,0.95869,0.04131,0.95869,0.5,0.67853,0,0.64869,0,0.4208
"M1",0,16,0.15255,0,0.41446,36.12785,0.38536,3.39325,0.1485,1,0,0,0,11,5.81818,7.37317,0.71075,4.75012,0.95235,22.56364,1e-05,0.85315,0.85315,0.85315,0.14312,0.09091,0.26083,10.17754,0.25641,3.16364,0.06574
"M1",0,1,0.98173,1,0.99082,49.7747,0.13393,-7.195,0.01794,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.01827,0.98173,0.98173,0.01827,0.98173,0.5,0.69431,0,0.68127,0,0.46413
