"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M1",0,40,0.5267,0,1.67999,20.40806,1.59529,4.16789,2.54495,7,0,0,0,29,14.48276,17.26268,0.19221,9.56041,0.53996,91.40148,0,0.82815,0.82815,0.82815,0.07049,0.03448,0.15452,28.45736,0.15329,5.31506,0.0235
"ANY",0,28,0.52082,0,2.22353,25.30468,2.16167,4.82916,4.67284,9,0,0,0,29,14,16.30951,-1.2,8.51469,0,72.5,0,0.92745,0.92745,0.92745,0.00308,0.03448,0.17226,28.98477,0.17176,5.38312,0.0295
"M1",0,8,0.49124,0,0.70355,-1.66083,0.50365,0.1021,0.25367,1,0,1,0,8,3.625,4.4017,-0.65152,2.66927,0.29576,7.125,0,0.5102,0.5102,0.5102,0.48875,0.125,0.24979,0.01721,0.2312,1.44282,0.05345
"M1",0,5,0.4745,0,0.69821,-1.56947,0.5122,0.2489,0.26235,1,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0,0.53196,0.53196,0.53196,0.46161,0.16667,0.28755,-1.67907,0.25669,1.00043,0.06589
"M1",0,4,0.45959,0,0.68039,-1.85159,0.5017,0.2022,0.2517,1,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.54207,0.54207,0.54207,0.45628,0.2,0.31687,-3.01158,0.27479,0.66379,0.07551
"M1",0,2,0.45692,0,0.67598,-1.96909,0.49817,0.17328,0.24817,1,0,1,0,3,1,1.29099,0,1,0,1,1e-05,0.54309,0.54309,0.54309,0.4569,0.33333,0.40976,0,0.29186,-1.56365,0.08518
"M1",0,4,0.42016,0,0.64839,-1.88233,0.49384,0.32686,0.24387,1,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.57995,0.57995,0.57995,0.41993,0.2,0.32022,-2.27717,0.27959,0.79122,0.07817
"M1",0,29,0.40239,0,0.64379,34.38009,0.50255,1.52021,0.25255,1,0,1,0,23,11.6087,13.89557,-0.50247,7.80873,0.42169,60.97628,0,0.59937,0.59937,0.59937,0.39976,0.04348,0.15022,10.82011,0.14703,3.37212,0.02162
"ANY",0,32,0.36837,0,1.61505,33.97457,1.57248,5.36829,2.47269,7,0,0,0,33,16,18.61899,-1.2,9.66954,0,93.5,0,0.92452,0.92452,0.92452,0.01063,0.0303,0.16099,32.96388,0.16057,5.74,0.02578
"M1",0,5,0.36794,0,0.77397,3.44402,0.68092,1.93629,0.46365,2,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,4e-05,0.72996,0.72996,0.72996,0.18885,0.16667,0.30903,4.65008,0.28507,2.13693,0.08127
"ANY",0,36,0.2853,0,1.34807,36.39372,1.31754,5.66014,1.73591,6,0,0,0,25,12.48,14.99333,0.84366,8.48096,0.7133,71.92667,0,0.93616,0.93616,0.93616,0.00993,0.04,0.18728,24.98028,0.18673,4.99716,0.03487
"M1",0,3,0.23984,0,0.48976,-0.51223,0.42701,1.21904,0.18234,1,0,0,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0,0.76017,0.76017,0.76017,0.23982,0.25,0.39855,1.76224,0.35841,1.47022,0.12846
"M1",0,1,0.23983,0,0.48972,-0.51487,0.42698,1.21866,0.18231,1,0,0,0,2,0.5,0.70711,0,0.70711,0,0.5,0.23983,0.76017,0.76017,0.76017,0.23983,0.5,0.56364,0,0.36794,0,0.13538
"M1",0,4,0.23789,0,0.49715,0.42572,0.43654,1.39748,0.19057,1,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.76674,0.76674,0.76674,0.22864,0.2,0.35782,3.12937,0.33173,1.8102,0.11005
"M1",0,4,0.20685,0,0.45577,0.22138,0.40613,1.46754,0.16494,1,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.79359,0.79359,0.79359,0.20597,0.2,0.36666,3.56468,0.34359,1.9025,0.11805
"ANY",0,369,0.20437,0,1.19093,8892.58838,1.17327,51.52504,1.37656,4,0,0,0,101,65.92079,86.08883,7.48499,55.64525,1.95987,3096.39366,0,0.93343,0.93343,0.93343,0.01997,0.0099,0.09292,100.81171,0.09286,10.0361,0.00862
"ANY",0,5857,22.55307,13,45.94127,2772.82604,40.02451,29.55355,1601.96161,109,4,23,9,905,556.68398,814.08411,32.44326,594.32835,4.64933,353226.1921,0,0.10745,0.10745,0.01187,6e-05,0.0011,0.00652,115.01276,0.00643,9.58373,4e-05
"ANY",1,53,10.15118,10,10.58107,1.55118,2.98539,-0.12923,8.91254,16,3,12,8,37,19.56757,22.87451,0.0422,12.01051,0.47895,144.25225,0,0.20276,0.20276,0,0.00551,0.02703,0.05573,4.4703,0.04941,2.23568,0.00244
"ANY",0,128,9.07734,3,13.34277,14.86924,9.77913,2.96556,95.63146,36,0,10,4,129,64,74.04503,-1.2,37.38315,0,1397.5,0,0.20884,0.20884,0.02003,0.00215,0.00775,0.02834,33.72298,0.02736,5.5888,0.00075
"ANY",0,194,6.44715,6,7.33147,45.89271,3.49065,3.31345,12.18467,16,2,8,4,81,44.59259,57.72605,7.00306,36.88624,2.2066,1360.59444,0,0.18566,0.18566,0.01269,0.00638,0.01235,0.03784,12.21921,0.03599,3.52562,0.0013
"ANY",0,89,2.64102,1,3.4877,18.30488,2.27795,2.69027,5.18907,9,0,3,1,53,28.20755,34.38983,1.05323,19.86043,0.9284,394.43687,0,0.38111,0.38111,0.02048,0.38111,0.01887,0.06521,22.92358,0.06302,4.58126,0.00397
"ANY",0,648,2.10797,1,4.01785,2664.68189,3.42046,28.5879,11.69955,9,0,2,1,171,100.30994,131.33879,11.89923,85.02984,2.53204,7230.07396,0,0.47018,0.47018,0.04935,0.47018,0.00585,0.04284,94.4321,0.04256,9.43178,0.00181
"ANY",0,9,1.40379,0,2.30849,-1.05353,1.83263,0.74501,3.35853,5,0,3,0,10,4.5,5.33854,-1.2,3.02765,0,9.16667,0,0.60263,0.60263,0.60263,0.00331,0.1,0.20236,7.53283,0.18544,2.66136,0.03439
"ANY",0,44,1.12807,0,1.92201,0.53805,1.55615,0.9856,2.42159,4,0,3,0,27,14.37037,17.56259,1.00145,10.28871,0.84754,105.85755,0,0.60808,0.60808,0.60808,0.04661,0.03704,0.12336,21.58348,0.11991,4.49468,0.01438
"ANY",0,887,1.09696,0,3.00798,14254.13248,2.80082,63.56053,7.84461,7,0,1,0,129,91.54264,143.35593,22.71521,110.75176,4.00617,12265.95325,0,0.54695,0.54695,0.54695,0.23091,0.00775,0.0532,88.41904,0.05283,9.07011,0.00279
"ANY",0,98,1.00864,1,1.19089,607.89962,0.63313,4.68825,0.40086,2,0,1,1,21,14.90476,25.05898,14.32671,20.64196,3.553,426.09048,0,0.65907,0.65907,0.17275,0.65907,0.04762,0.15263,15.92452,0.14859,3.87451,0.02208
"M1",0,1,0.98814,1,0.99405,79.34516,0.10825,-9.01915,0.01172,1,1,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.01186,0.98814,0.98814,0.01186,0.98814,0.5,0.69877,0,0.69034,0,0.47657
