"Class","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,34,0.57246,0,1.04059,9.86388,0.86898,1.71366,0.75513,3,0,1,0,28,14.10714,16.79817,-0.61378,9.28695,0.38027,86.24735,0,0.63304,0.63304,0.63304,0.20327,0.03571,0.12804,20.76499,0.12521,4.41827,0.01568
"M0",0,40,0.99613,1,1.11716,303.5428,0.50575,7.24231,0.25579,2,0,1,1,20,12.05,15.64768,1.52291,10.24168,1.238,104.89211,0,0.84595,0.84595,0.08822,0.84595,0.05,0.19059,19.33861,0.18869,4.37198,0.0356
"M0",0,16,0.91541,1,1.14923,7.08899,0.6948,1.27439,0.48275,3,0,1,1,13,6.30769,7.65607,0.19146,4.51635,0.5962,20.39744,0,0.62937,0.62937,0.24345,0.62937,0.07692,0.18941,8.40771,0.18015,2.8473,0.03245
"M0",0,44,1.12807,0,1.92201,0.53805,1.55615,0.9856,2.42159,4,0,3,0,27,14.37037,17.56259,1.00145,10.28871,0.84754,105.85755,0,0.60808,0.60808,0.60808,0.04661,0.03704,0.12336,21.58348,0.11991,4.49468,0.01438
"M0",0,7,0.37595,0,0.70946,3.26864,0.60166,1.64261,0.362,2,0,1,0,7,3.14286,3.8545,-0.50341,2.4103,0.36728,5.80952,2e-05,0.67933,0.67933,0.67933,0.27237,0.14286,0.2771,3.74881,0.25646,1.99521,0.06577
"M0",0,588,0.801,0,11.67115,727.40792,11.64368,24.89246,135.5754,6,0,0,0,235,165.99574,207.51155,-0.19638,124.79071,0.69829,15572.7222,1e-05,0.97067,0.97067,0.97067,0.00018,0.00426,0.06332,234.98139,0.06331,15.3288,0.00401
"M0",0,62,0.27896,0,1.55957,317.39623,1.53443,14.16569,2.35449,3,0,0,0,46,23.86957,28.5162,-0.47918,15.77425,0.47288,248.82705,2e-05,0.89744,0.89744,0.89744,0.0598,0.02174,0.13264,45.54228,0.13229,6.7347,0.0175
"M0",0,12,0.34412,0,0.66987,17.32333,0.57473,2.50578,0.33031,2,0,1,0,10,5.1,6.36396,-0.49599,4.01248,0.64395,16.1,2e-05,0.69089,0.69089,0.69089,0.28398,0.1,0.2363,6.07599,0.22567,2.47957,0.05093
"M0",0,220,0.73841,0,5.0254,360.54887,4.97088,14.86548,24.70968,10,0,0,0,117,66.01709,83.0262,1.68487,50.56627,1.2822,2556.94798,1e-05,0.90758,0.90758,0.90758,0.03644,0.00855,0.08399,116.55433,0.08391,10.7867,0.00704
"M0",0,511,1.56953,1,3.11403,2149.57678,2.68956,25.95761,7.23375,7,0,2,1,166,95.13253,122.84386,6.34419,77.95527,2.00118,6077.02475,0,0.45115,0.45115,0.20629,0.45115,0.00602,0.0419,85.61302,0.04159,8.82342,0.00173
