"AntMin","DataMin","DataMax","Mean","Mode","Quad..Mean","Kurtosis","Std..Deviation","Skewness","Variance","X98P","X2P","X75P","X25P","Dist..Card.","Dist..Mean.","Dist..Quad..Mean.","Dist..Kur.","Dist..Std..Devi.","Dist..Skew.","Dist..Vari.","P..Min.","P..Max.","P..Mode.","P..0","P.1","P..Mean","P..Quad..Mean.","P..Kurtosis.","P..Std..Dev.","P..Skew.","P..Vari."
"M0",0,588,0.801,0,11.67115,727.40792,11.64368,24.89246,135.5754,6,0,0,0,235,165.99574,207.51155,-0.19638,124.79071,0.69829,15572.7222,1e-05,0.97067,0.97067,0.97067,0.00018,0.00426,0.06332,234.98139,0.06331,15.3288,0.00401
"M0",0,20,0.19416,0,0.49271,46.10824,0.45284,3.43756,0.20507,1,0,0,0,13,7.61538,9.55551,-0.25848,6.00747,0.66931,36.08974,1e-05,0.82526,0.82526,0.82526,0.15701,0.07692,0.23304,11.82738,0.22896,3.40384,0.05242
"M0",0,3,0.06649,0,0.28859,27.14963,0.28083,4.8086,0.07887,1,0,0,0,4,1.5,1.87083,-1.2,1.29099,0,1.66667,0.00094,0.94096,0.94096,0.94096,0.05252,0.25,0.47122,3.94731,0.46123,1.98488,0.21273
"M0",0,588,0.801,0,11.67115,727.40792,11.64368,24.89246,135.5754,6,0,0,0,235,165.99574,207.51155,-0.19638,124.79071,0.69829,15572.7222,1e-05,0.97067,0.97067,0.97067,0.00018,0.00426,0.06332,234.98139,0.06331,15.3288,0.00401
"M0",0,1,0.85621,1,0.92532,2.12261,0.35088,-2.03041,0.12312,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.14379,0.85621,0.85621,0.14379,0.85621,0.5,0.61391,0,0.50376,0,0.25377
"M0",0,34,0.22285,0,0.68292,828.5932,0.64556,19.53781,0.41675,1,0,0,0,13,10.23077,14.50994,1.03833,10.70945,1.37429,114.69231,7e-05,0.80281,0.80281,0.80281,0.18692,0.07692,0.22862,11.28314,0.22408,3.31707,0.05021
"M0",0,282,3.68103,1,7.62499,153.29358,6.67763,9.02685,44.59072,21,0,4,1,149,80.8255,97.91659,0.70868,55.45752,0.81956,3075.53691,1e-05,0.38227,0.38227,0.03375,0.38227,0.00671,0.03759,76.79585,0.03711,8.3193,0.00138
"M0",0,20,0.6002,1,0.80695,5.25545,0.53937,0.36873,0.29092,1,0,1,0,17,8.64706,10.4572,-0.77031,6.06157,0.42338,36.74265,0,0.5583,0.5583,0.42191,0.5583,0.05882,0.16978,6.34737,0.16417,2.71495,0.02695
"M0",0,2,0.12972,0,0.363,3.52074,0.33911,2.28415,0.115,1,0,0,0,3,1,1.29099,0,1,0,1,0.00102,0.8713,0.8713,0.8713,0.12768,0.33333,0.50842,0,0.47018,1.59172,0.22106
"M0",0,16,0.15255,0,0.41446,36.12785,0.38536,3.39325,0.1485,1,0,0,0,11,5.81818,7.37317,0.71075,4.75012,0.95235,22.56364,1e-05,0.85315,0.85315,0.85315,0.14312,0.09091,0.26083,10.17754,0.25641,3.16364,0.06574
"M0",0,722,3.45483,0,9.11617,1043.01508,8.43618,18.21642,71.16906,22,0,3,0,163,114.5092,170.61903,8.19357,126.87494,2.6749,16097.25146,0,0.66818,0.66818,0.66818,0.04948,0.00613,0.05274,158.36091,0.05255,12.50269,0.00276
"M0",0,2,0.27435,0,0.53142,-0.35021,0.45513,1.13909,0.20714,1,0,1,0,3,1,1.29099,0,1,0,1,0.00403,0.72968,0.72968,0.72968,0.2663,0.33333,0.44846,0,0.36744,0.79367,0.13501
"M0",0,94,0.26485,0,1.5273,245.716,1.50416,10.56487,2.2625,5,0,0,0,41,22.97561,29.92674,5.07662,19.41454,1.93161,376.92439,1e-05,0.94493,0.94493,0.94493,0.0135,0.02439,0.1476,40.97053,0.14738,6.39977,0.02172
"M0",0,1,0.76407,1,0.87411,-0.45262,0.42458,-1.24394,0.18027,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.23593,0.76407,0.76407,0.23593,0.76407,0.5,0.56545,0,0.37346,0,0.13947
"M0",0,31,0.18207,0,0.6393,103.51841,0.61283,5.88128,0.37556,2,0,0,0,20,11.05,13.77498,0.08463,8.43848,0.8072,71.20789,1e-05,0.89363,0.89363,0.89363,0.05139,0.05,0.20037,19.76549,0.19907,4.43576,0.03963
"M0",0,4,0.0857,0,0.30817,16.94771,0.29602,3.71664,0.08763,1,0,0,0,5,2,2.44949,-1.2,1.58114,0,2.5,0.00013,0.91806,0.91806,0.91806,0.07892,0.2,0.41208,4.85451,0.40282,2.19806,0.16227
"M0",0,8,0.49124,0,0.70355,-1.66083,0.50365,0.1021,0.25367,1,0,1,0,8,3.625,4.4017,-0.65152,2.66927,0.29576,7.125,0,0.5102,0.5102,0.5102,0.48875,0.125,0.24979,0.01721,0.2312,1.44282,0.05345
"M0",0,9,0.1556,0,0.5869,15.4354,0.5659,3.89035,0.32024,2,0,0,0,9,4.11111,4.95536,-0.76046,2.93447,0.24184,8.61111,1e-05,0.91849,0.91849,0.91849,0.02614,0.11111,0.3066,8.94513,0.30309,2.98782,0.09186
"M0",0,234,0.11951,0,5.28822,1958,5.28822,44.24929,27.96527,0,0,0,0,2,117,165.46299,0,165.46299,0,27378,0.00051,0.99949,0.99949,0.99949,0,0.5,0.70675,0,0.70638,0,0.49898
"M0",0,1,0.51634,1,0.71857,-1.99776,0.49986,-0.06546,0.24986,1,0,1,0,2,0.5,0.70711,0,0.70711,0,0.5,0.48366,0.51634,0.51634,0.48366,0.51634,0.5,0.50027,0,0.02311,0,0.00053
"M0",0,9,0.20327,0,0.81608,32.93323,0.79056,5.23808,0.62499,3,0,0,0,9,4.11111,4.95536,-0.76046,2.93447,0.24184,8.61111,0.00051,0.90858,0.90858,0.90858,0.03728,0.11111,0.3033,8.95182,0.29933,2.98932,0.0896
"M0",0,1,0.92241,1,0.96042,7.97338,0.26753,-3.15802,0.07157,1,0,1,1,2,0.5,0.70711,0,0.70711,0,0.5,0.07759,0.92241,0.92241,0.07759,0.92241,0.5,0.65455,0,0.59738,0,0.35686
"M0",0,26,0.0677,0,0.52399,587.3753,0.51962,18.07131,0.27,1,0,0,0,14,7.78571,10.25044,2.84013,6.91908,1.54464,47.87363,7e-05,0.96642,0.96642,0.96642,0.01887,0.07143,0.25835,13.98608,0.25765,3.73908,0.06638
"M0",0,4,0.33198,0,0.66783,1.38396,0.57947,1.55813,0.33578,2,0,1,0,5,2,2.44949,-1.2,1.58114,0,2.5,0,0.725,0.725,0.725,0.21805,0.2,0.33953,3.23446,0.30676,1.81556,0.0941
"M0",0,5,0.47421,0,0.9294,-0.29668,0.79932,1.23035,0.63891,2,0,1,0,6,2.5,3.02765,-1.2,1.87083,0,3.5,0,0.72046,0.72046,0.72046,0.08495,0.16667,0.30663,4.43081,0.28194,2.08056,0.07949
"M0",0,13,0.27698,0,0.58377,50.60658,0.51389,3.96816,0.26409,1,0,1,0,10,4.9,6.10737,0.97575,3.84274,0.88819,14.76667,7e-05,0.73511,0.73511,0.73511,0.25992,0.1,0.24657,6.90688,0.23757,2.61464,0.05644
"M0",0,13,0.27698,0,0.58377,50.60658,0.51389,3.96816,0.26409,1,0,1,0,10,4.9,6.10737,0.97575,3.84274,0.88819,14.76667,7e-05,0.73511,0.73511,0.73511,0.25992,0.1,0.24657,6.90688,0.23757,2.61464,0.05644
"M0",0,13,0.27698,0,0.58377,50.60658,0.51389,3.96816,0.26409,1,0,1,0,10,4.9,6.10737,0.97575,3.84274,0.88819,14.76667,7e-05,0.73511,0.73511,0.73511,0.25992,0.1,0.24657,6.90688,0.23757,2.61464,0.05644
