Class	Property	Count	Min. Ann.	Max. Ann.	Min	Max	Mean	0	1	2	3	4	5	6	7	8	9	10	11	12	13
dbo:Person	dbp:goals	1767272	M0	ANY	0	369	0.204372615	0.93343	0.01997	0.01372	0.011	0.00822	0.00558	0.00345	0.00204	0.00118	0.00066	0.00035	0.00017	0.00008	0.00003
dbo:Place	dbo:wikiPageWikiLink	925383	M0	ANY	0	5857	22.55306506	0.01187	0.00006	0.00122	0.00637	0.01838	0.02552	0.03762	0.04429	0.04968	0.05758	0.05289	0.05851	0.05696	0.10745
dbo:Place	rdf:type	925383	M1	ANY	1	53	10.15117849	0	0.00551	0.01165	0.01328	0.02301	0.01721	0.02188	0.03368	0.12921	0.09739	0.20276	0.15238	0.1124	0.07955
dbo:Place	owl:sameAs	925383	M0	ANY	0	128	9.077337708	0.02003	0.00215	0.00918	0.20884	0.16798	0.12221	0.09083	0.05335	0.04213	0.03027	0.02305	0.01694	0.0134	0.01384
dbo:Place	dbp:wikiPageUsesTemplate	925383	M0	ANY	0	194	6.447149991	0.01269	0.00638	0.02489	0.07982	0.13986	0.16604	0.18566	0.11875	0.08672	0.05785	0.03467	0.02107	0.01549	0.01219
dbo:Place	dc:subject	925383	M0	ANY	0	89	2.641016747	0.02048	0.38111	0.22025	0.13592	0.08374	0.05911	0.03745	0.02254	0.01399	0.00857	0.00544	0.00355	0.00229	0.00156
dbo:Place	dbo:wikiPageWikiLinkText	925383	M0	ANY	0	648	2.107974752	0.04935	0.47018	0.28363	0.08574	0.0411	0.02155	0.01292	0.00842	0.00561	0.00422	0.00295	0.00223	0.00176	0.0014
dbo:Place	dbp:subdivisionType	925383	M0	ANY	0	9	1.403788485	0.60263	0.00331	0.0449	0.16265	0.11292	0.07146	0.00124	0.00085	0.00004	0	0	0	0	0
dbo:Place	dbp:subdivisionName	925383	M0	ANY	0	44	1.128073457	0.60808	0.04661	0.09468	0.11907	0.1256	0.00423	0.00138	0.00018	0.00006	0.00003	0.00002	0.00002	0.00001	0.00001
dbo:Place	dbo:wikiPageExternalLink	925383	M0	ANY	0	887	1.096956611	0.54695	0.23091	0.09517	0.0473	0.02788	0.01783	0.01012	0.00632	0.00441	0.00298	0.00215	0.00155	0.00117	0.00089
dbo:Place	foaf:name	925383	M0	ANY	0	98	1.008639666	0.17275	0.65907	0.15787	0.00845	0.00131	0.00039	0.00009	0.00003	0.00001	0.00001	0.00001	0	0	0
dbo:Place	dbo:wikiPageOutDegree	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:wikiPageRevisionID	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	rdfs:label	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	prov:wasDerivedFrom	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	foaf:isPrimaryTopicOf	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:wikiPageID	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:wikiPageLength	925383	M1	M1	0	1	0.988142207	0.01186	0.98814	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:isPartOf	925383	M0	ANY	0	43	0.969599614	0.60601	0.05993	0.16374	0.10128	0.06797	0.0007	0.00017	0.00007	0.00003	0.00003	0.00001	0.00002	0.00001	0.00001
dbo:Place	rdfs:comment	925383	M0	M1	0	1	0.969109007	0.03089	0.96911	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	dbo:abstract	925383	M1	M1	0	1	0.969096039	0.0309	0.9691	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	gold:hypernym	925383	M0	M1	0	1	0.892288923	0.10771	0.89229	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Place	geo:lat	925383	M0	M1	0	9	0.819324539	0.20516	0.77042	0.02438	0.00003	0.00001	0.00001	0	0	0	0	0	0	0	0
dbo:Place	georss:point	925383	M0	M1	0	10	0.819021962	0.20885	0.76336	0.02776	0.00003	0.00001	0.00001	0	0	0	0	0	0	0	0
